state,lat,lon
Johor,1.937344,103.366585
Kedah,6.155672,100.569649
Kelantan,5.145506,101.654137
Melaka,2.346257,102.253067
Negeri Sembilan,2.879705,102.164253
Pahang,3.974341,102.438057
Perak,4.69395,101.117577
Perlis,6.443589,100.216599
Penang,5.285153,100.456238
Sabah,5.420404,116.796783
Sarawak,2.906356,113.082039
Selangor,3.509247,101.524803
Terengganu,5.3117,103.1324
Kuala Lumpur,3.139003,101.686852
Labuan,5.283145,115.230423
Putrajaya,2.926361,101.696445
